epoch,loss,mae
0,0.24371090531349182,0.35011112689971924
1,0.03008347563445568,0.13685527443885803
2,0.013031236827373505,0.09027476608753204
3,0.00799680594354868,0.06959812343120575
4,0.0053360904566943645,0.056583013385534286
5,0.004313930403441191,0.04991309344768524
6,0.003955993801355362,0.04740172252058983
7,0.0036737280897796154,0.04586554691195488
8,0.0035855642054229975,0.04573861509561539
9,0.0033178082667291164,0.0432453453540802
10,0.003210903611034155,0.04257727041840553
11,0.003121397690847516,0.04167504608631134
12,0.00286278803832829,0.03933050483465195
13,0.0027306661941111088,0.038718052208423615
14,0.002802907256409526,0.039612628519535065
